MunicipalityId;Name;Status;District;County;Area;Population;Latitude;Longitude
03665;Cered;kozseg;Salgotarjani;Nograd;3858;1053;48.1445;19.9671
03674;Nemeskeresztur;kozseg;Celldomolki;Vas;1217;274;47.0936;17.1934
03683;Magyarhomorog;kozseg;Berettyoujfalui;Hajdu-Bihar;3957;827;47.0215;21.5429
03692;Mende;kozseg;Nagykatai;Pest;2715;4193;47.4303;19.4553
03708;Taktabaj;kozseg;Tokaji;Borsod-Abauj-Zemplen;1682;576;48.0621;21.3122
03717;Tiszadorogma;kozseg;Mezocsati;Borsod-Abauj-Zemplen;4661;321;47.682;20.8628
03726;Zebecke;kozseg;Lenti;Zala;445;52;46.6427;16.6863
03735;Bardudvarnok;kozseg;Kaposvari;Somogy;4856;1109;46.3268;17.6851
03744;Gagyvendegi;kozseg;Szikszoi;Borsod-Abauj-Zemplen;1232;191;48.43;20.975
03753;Rabcakapi;kozseg;Csornai;Gyor-Moson-Sopron;787;148;47.7086;17.2757
03762;Kiskinizs;kozseg;Szikszoi;Borsod-Abauj-Zemplen;717;311;48.2512;21.0356
03771;Arnot;kozseg;Miskolci;Borsod-Abauj-Zemplen;1754;2298;48.1308;20.8611
03780;Ocsard;kozseg;Pecsi;Baranya;1266;373;45.9347;18.1515
03799;Csakany;kozseg;Marcali;Somogy;1609;243;46.5406;17.2715
03805;Szakald;kozseg;Tiszaujvarosi;Borsod-Abauj-Zemplen;1140;436;47.9421;20.9077
03814;Heviz;varos;Keszthelyi;Zala;830;4523;46.7906;17.1834
03823;Arokto;kozseg;Mezocsati;Borsod-Abauj-Zemplen;4641;1109;47.7282;20.9434
03832;Keszu;kozseg;Pecsi;Baranya;731;1230;46.017;18.1918
03841;Bokor;kozseg;Pasztoi;Nograd;675;97;47.9336;19.5404
03850;Tiszabercel;kozseg;Ibranyi;Szabolcs-Szatmar-Bereg;3138;1776;48.1565;21.6494
03869;Kistormas;kozseg;Szekszardi;Tolna;1135;292;46.5;18.5658
03878;Nyirpilis;kozseg;Nyirbatori;Szabolcs-Szatmar-Bereg;1634;872;47.7839;22.1849
03887;Szerecseny;kozseg;Teti;Gyor-Moson-Sopron;1238;762;47.4619;17.5547
03896;Cserkut;kozseg;Pecsi;Baranya;667;607;46.0763;18.1352
03902;Mad;kozseg;Szerencsi;Borsod-Abauj-Zemplen;3186;2112;48.1919;21.2742
